user,course,period,add,change,acad_year,.modules
id100,A,Y1P14,5,57,NA,0
id100,A,Y2P02,52,84,2020-2021,2
id100,A,Y2P05,51,64,2020-2021,2
id100,A,Y2P06,172,216,2020-2021,2
id100,A,Y2P07,71,78,NA,0
id100,A,Y2P11,65,147,2020-2021,2
id100,A,Y2P12,19,21,NA,0
id100,A,Y2P15,63,224,NA,0
id100,B,Y2P07,47,94,NA,0
id101,A,Y2P02,62,83,2020-2021,2
id101,A,Y2P03,54,96,2020-2021,2
id101,A,Y2P04,77,106,2020-2021,2
id101,A,Y2P05,201,276,2020-2021,2
id101,A,Y2P06,245,680,2020-2021,2
id101,A,Y2P10,56,163,2020-2021,3
id101,A,Y2P11,53,123,2020-2021,2
id101,A,Y2P12,7,65,NA,0
id101,A,Y2P13,11,141,2020-2021,2
id101,A,Y2P14,113,565,2020-2021,1
id102,A,Y2P02,53,61,2020-2021,2
id102,A,Y2P03,61,111,2020-2021,2
id102,A,Y2P04,65,87,2020-2021,2
id102,A,Y2P05,136,185,2020-2021,2
id102,A,Y2P06,100,234,2020-2021,2
id102,A,Y2P07,14,74,NA,0
id102,A,Y2P10,51,75,2020-2021,3
id102,A,Y2P12,17,29,NA,0
id102,A,Y2P13,17,32,2020-2021,2
id102,A,Y2P14,43,78,2020-2021,1
id103,A,Y2P02,40,53,2020-2021,2
id103,A,Y2P03,37,105,2020-2021,2
id103,A,Y2P04,75,94,2020-2021,2
id103,A,Y2P05,179,240,2020-2021,2
id103,A,Y2P06,101,284,2020-2021,2
id103,A,Y2P07,11,37,NA,0
id103,A,Y2P10,172,352,2020-2021,3
id103,A,Y2P11,46,73,2020-2021,2
id103,A,Y2P12,147,288,NA,0
id103,A,Y2P13,153,372,2020-2021,2
id103,A,Y2P14,141,327,2020-2021,1
id104,A,Y2P02,39,47,2020-2021,2
id104,A,Y2P03,92,211,2020-2021,2
id104,A,Y2P04,180,237,2020-2021,2
id104,A,Y2P05,273,350,2020-2021,2
id104,A,Y2P06,192,747,2020-2021,2
id104,A,Y2P07,82,243,NA,0
id104,A,Y2P10,154,352,2020-2021,3
id104,A,Y2P11,40,216,2020-2021,2
id104,A,Y2P12,50,176,NA,0
id104,A,Y2P13,209,599,2020-2021,2
id104,A,Y2P14,260,765,2020-2021,1
id104,A,Y2P15,56,75,NA,0
id106,A,Y2P02,23,35,2020-2021,2
id106,A,Y2P03,19,29,2020-2021,2
id106,A,Y2P04,147,172,2020-2021,2
id106,A,Y2P05,123,149,2020-2021,2
id106,A,Y2P06,78,93,2020-2021,2
id106,A,Y2P07,188,351,NA,0
id106,A,Y2P10,8,15,2020-2021,3
id106,A,Y2P11,6,6,2020-2021,2
id106,A,Y2P13,21,34,2020-2021,2
id106,A,Y2P15,200,243,NA,0
id107,A,Y2P02,40,52,2020-2021,2
id107,A,Y2P03,30,82,2020-2021,2
id107,A,Y2P04,54,116,2020-2021,2
id107,A,Y2P05,158,216,2020-2021,2
id107,A,Y2P06,193,394,2020-2021,2
id107,A,Y2P07,81,263,NA,0
id107,A,Y2P10,69,106,2020-2021,3
id107,A,Y2P11,102,306,2020-2021,2
id107,A,Y2P13,121,209,2020-2021,2
id107,A,Y2P14,143,398,2020-2021,1
id107,A,Y2P15,7,15,NA,0
id108,A,Y2P02,20,42,2020-2021,2
id108,A,Y2P03,39,57,2020-2021,2
id108,A,Y2P04,87,159,2020-2021,2
id108,A,Y2P05,182,274,2020-2021,2
id108,A,Y2P06,113,144,2020-2021,2
id108,A,Y2P07,131,479,NA,0
id108,A,Y2P08,28,60,NA,0
id108,A,Y2P10,50,103,2020-2021,3
id108,A,Y2P12,77,94,NA,0
id108,A,Y2P13,118,261,2020-2021,2
id108,A,Y2P14,53,92,2020-2021,1
id108,A,Y2P15,61,76,NA,0
id109,A,Y2P02,7,19,2020-2021,2
id109,A,Y2P04,207,293,2020-2021,2
id109,A,Y2P05,183,251,2020-2021,2
id109,A,Y2P06,106,206,2020-2021,2
id109,A,Y2P07,9,15,NA,0
id109,A,Y2P08,81,136,NA,0
id109,A,Y2P10,52,91,2020-2021,3
id109,A,Y2P12,3,11,NA,0
id109,A,Y2P14,57,128,2020-2021,1
id109,A,Y2P15,474,748,NA,0
id110,A,Y2P02,50,57,2020-2021,2
id110,A,Y2P03,79,124,2020-2021,2
id110,A,Y2P04,59,72,2020-2021,2
id110,A,Y2P05,109,150,2020-2021,2
id110,A,Y2P06,42,349,2020-2021,2
id110,A,Y2P07,62,179,NA,0
id110,A,Y2P10,87,198,2020-2021,3
id110,A,Y2P11,17,19,2020-2021,2
id110,A,Y2P12,234,857,NA,0
id110,A,Y2P13,28,262,2020-2021,2
id110,A,Y2P14,6,81,2020-2021,1
id110,A,Y2P15,89,304,NA,0
id111,A,Y2P02,23,35,2020-2021,2
id111,A,Y2P03,16,25,2020-2021,2
id111,A,Y2P04,51,130,2020-2021,2
id111,A,Y2P05,37,66,2020-2021,2
id111,A,Y2P07,207,402,NA,0
id111,A,Y2P14,142,224,2020-2021,1
id111,A,Y2P15,121,262,NA,0
id112,A,Y2P02,38,49,2020-2021,2
id112,A,Y2P03,44,129,2020-2021,2
id112,A,Y2P04,147,190,2020-2021,2
id112,A,Y2P05,248,465,2020-2021,2
id112,A,Y2P06,83,148,2020-2021,2
id112,A,Y2P07,95,115,NA,0
id112,A,Y2P10,174,300,2020-2021,3
id112,A,Y2P11,3,20,2020-2021,2
id112,A,Y2P12,10,55,NA,0
id112,A,Y2P13,6,91,2020-2021,2
id112,A,Y2P14,167,337,2020-2021,1
id112,A,Y2P15,55,156,NA,0
id113,A,Y2P02,25,25,2020-2021,2
id113,A,Y2P03,21,76,2020-2021,2
id113,A,Y2P04,50,123,2020-2021,2
id113,A,Y2P05,129,183,2020-2021,2
id113,A,Y2P06,58,65,2020-2021,2
id113,A,Y2P07,66,252,NA,0
id113,A,Y2P10,11,19,2020-2021,3
id113,A,Y2P11,17,28,2020-2021,2
id113,A,Y2P13,15,31,2020-2021,2
id113,A,Y2P14,66,81,2020-2021,1
id113,A,Y2P15,159,239,NA,0
id114,A,Y2P02,25,27,2020-2021,2
id114,A,Y2P03,76,123,2020-2021,2
id114,A,Y2P04,29,38,2020-2021,2
id114,A,Y2P05,84,189,2020-2021,2
id114,A,Y2P07,205,341,NA,0
id114,A,Y2P08,63,103,NA,0
id114,A,Y2P10,23,33,2020-2021,3
id114,A,Y2P11,146,283,2020-2021,2
id114,A,Y2P13,13,26,2020-2021,2
id114,A,Y2P14,15,56,2020-2021,1
id114,A,Y2P15,148,364,NA,0
id115,A,Y2P02,42,45,2020-2021,2
id115,A,Y2P03,25,43,2020-2021,2
id115,A,Y2P04,80,150,2020-2021,2
id115,A,Y2P05,115,158,2020-2021,2
id115,A,Y2P06,68,235,2020-2021,2
id115,A,Y2P07,188,372,NA,0
id115,A,Y2P10,23,35,2020-2021,3
id115,A,Y2P11,25,53,2020-2021,2
id115,A,Y2P12,26,48,NA,0
id115,A,Y2P13,194,268,2020-2021,2
id115,A,Y2P14,392,676,2020-2021,1
id116,B,Y1P11,97,538,2019-2020,2
id116,B,Y1P13,181,1512,2019-2020,1
id116,B,Y1P14,26,3412,NA,0
id117,B,Y1P11,73,420,2019-2020,2
id117,B,Y1P13,352,1132,2019-2020,1
id117,B,Y1P14,193,2079,NA,0
id118,B,Y1P11,95,539,2019-2020,2
id118,B,Y1P12,36,51,2019-2020,1
id118,B,Y1P13,103,397,2019-2020,1
id118,B,Y1P14,168,2529,NA,0
id119,B,Y1P11,119,534,2019-2020,2
id119,B,Y1P12,34,62,2019-2020,1
id119,B,Y1P13,79,347,2019-2020,1
id119,B,Y1P14,329,5133,NA,0
id120,A,Y1P11,11,160,2019-2020,2
id120,A,Y1P12,2,43,2019-2020,1
id120,A,Y1P13,21,198,2019-2020,1
id120,A,Y1P14,17,34,NA,0
id121,B,Y1P11,123,825,2019-2020,2
id121,B,Y1P13,262,1346,2019-2020,1
id121,B,Y1P14,172,991,NA,0
id122,A,Y2P02,51,56,2020-2021,2
id122,A,Y2P04,36,48,2020-2021,2
id122,A,Y2P05,61,81,2020-2021,2
id122,A,Y2P06,191,507,2020-2021,2
id122,A,Y2P07,179,413,NA,0
id122,A,Y2P10,25,42,2020-2021,3
id122,A,Y2P11,79,199,2020-2021,2
id122,A,Y2P13,32,45,2020-2021,2
id122,A,Y2P14,31,50,2020-2021,1
id122,A,Y2P15,6,14,NA,0
id123,B,Y1P11,73,430,2019-2020,2
id123,B,Y1P12,15,23,2019-2020,1
id123,B,Y1P13,452,7447,2019-2020,1
id123,B,Y1P14,127,602,NA,0
id125,B,Y1P11,95,370,2019-2020,2
id125,B,Y1P12,98,279,2019-2020,1
id125,B,Y1P13,287,3989,2019-2020,1
id125,B,Y1P14,136,2501,NA,0
id126,B,Y1P13,202,926,2019-2020,1
id126,B,Y1P14,315,1762,NA,0
id127,B,Y1P11,124,530,2019-2020,2
id127,B,Y1P13,283,1185,2019-2020,1
id127,B,Y1P14,258,2063,NA,0
id128,B,Y1P11,26,30,2019-2020,2
id128,B,Y1P13,564,3231,2019-2020,1
id128,B,Y1P14,360,1775,NA,0
