user,course,period,messages,acad_year,.modules
id100,A,Y2P04,1,2020-2021,2
id100,A,Y2P05,1,2020-2021,2
id100,A,Y2P08,1,NA,0
id100,A,Y2P11,1,2020-2021,2
id101,A,Y2P09,3,2020-2021,2
id101,A,Y2P11,2,2020-2021,2
id102,A,Y2P04,3,2020-2021,2
id102,A,Y2P05,48,2020-2021,2
id102,A,Y2P06,11,2020-2021,2
id102,A,Y2P10,4,2020-2021,3
id102,A,Y2P11,18,2020-2021,2
id102,A,Y2P13,2,2020-2021,2
id103,A,Y2P04,1,2020-2021,2
id103,A,Y2P05,4,2020-2021,2
id103,A,Y2P06,4,2020-2021,2
id103,A,Y2P07,5,NA,0
id103,A,Y2P10,15,2020-2021,3
id103,A,Y2P11,7,2020-2021,2
id103,A,Y2P12,8,NA,0
id103,A,Y2P13,2,2020-2021,2
id103,A,Y2P14,2,2020-2021,1
id103,A,Y2P15,2,NA,0
id104,A,Y2P03,10,2020-2021,2
id104,A,Y2P04,116,2020-2021,2
id104,A,Y2P05,166,2020-2021,2
id104,A,Y2P06,64,2020-2021,2
id104,A,Y2P07,27,NA,0
id104,A,Y2P09,26,2020-2021,2
id104,A,Y2P10,67,2020-2021,3
id104,A,Y2P11,74,2020-2021,2
id104,A,Y2P12,83,NA,0
id104,A,Y2P13,82,2020-2021,2
id104,A,Y2P14,139,2020-2021,1
id104,A,Y2P15,13,NA,0
id106,A,Y2P04,59,2020-2021,2
id106,A,Y2P07,2,NA,0
id106,A,Y2P10,1,2020-2021,3
id106,A,Y2P11,1,2020-2021,2
id107,A,Y2P03,6,2020-2021,2
id107,A,Y2P04,52,2020-2021,2
id107,A,Y2P05,25,2020-2021,2
id107,A,Y2P06,14,2020-2021,2
id107,A,Y2P09,3,2020-2021,2
id107,A,Y2P10,48,2020-2021,3
id107,A,Y2P11,8,2020-2021,2
id107,A,Y2P12,6,NA,0
id107,A,Y2P13,4,2020-2021,2
id107,A,Y2P14,12,2020-2021,1
id108,A,Y2P02,1,2020-2021,2
id108,A,Y2P03,29,2020-2021,2
id108,A,Y2P04,15,2020-2021,2
id108,A,Y2P05,16,2020-2021,2
id108,A,Y2P06,7,2020-2021,2
